Id,Title,Year,Genres,Runtime,Plot,Original Language,Director,Writer,Main Cast,Rating (RT),Nuni Aprooval,Fun Fact,Seen,PosterFileName
1000,Get Out,2017,Horror,,A young African-American visits his white girlfriend's parents for the weekend where his simmering uneasiness about their reception of him eventually reaches a boiling point.,English,Jordan Peele,Jordan Peele,Daniel Kaluuya Allison Williams Bradley Whitford,99% Funny scary and thought-provoking Get Out seamlessly weaves its trenchant social critiques into a brilliantly effective and entertaining horror/comedy thrill ride.,,,TRUE,get out ver.jpg/get out hor.jpg
1001,Don't Breath,2016,Horror Suspense,,Hoping to walk away with a massive fortune a trio of thieves break into the house of a blind man who isn't as helpless as he seems.,English,Fede Alvarez,Fede Alvarez Rodo Sayagues,Stephen Lang Jane Levy Dylan Minnette,88% Don't Breathe smartly twists its sturdy premise to offer a satisfyingly tense chilling addition to the home invasion genre that's all the more effective for its simplicity.,,,TRUE,
1002,El orfanato,2007,Horror,,A woman brings her family back to her childhood home which used to be an orphanage for handicapped children. Before long her son starts to communicate with an invisible new friend. ,Espanol,J. Bayona,Sergio Sanchez,Belen Rueda Fernando Cayo Roger Princep,87% Deeply unnerving and surprisingly poignant The Orphanage is an atmospheric beautifully crafted haunted house horror film that earns scares with a minimum of blood.,,,TRUE,
1003,The Babadook,2014,Horror,,A widowed mother plagued by the violent death of her husband battles with her son's fear of a monster lurking in the house but soon discovers a sinister presence all around her. ,English,Jennifer Kent,Jennifer Kent,Essie Davis Noah Wiseman Daniel Henshall,98% The Babadook relies on real horror rather than cheap jump scares -- and boasts a heartfelt genuinely moving story to boot.,,,TRUE,
1004,The Autopsy of Jane Doe,2016,Horror,,A father and son both coroners are pulled into a complex mystery while attempting to identify the body of a young woman who was apparently harboring dark secrets. ,English,Andre Ovredal,Ian Goldberg Richard Naing,Brian Cox Emile Hirsch Ophelia Lovibond,86% The Autopsy of Jane Doe subverts the gruesome expectations triggered by its title to deliver a smart suggestively creepy thriller that bolsters director Andr� Ovredal's growing reputation.,,,TRUE,
1005,Chernobyl Diaries,2012,Horror,,Six tourists hire an extreme tour guide who takes them to the abandoned city Pripyat the former home to the workers of the Chernobyl nuclear reactor. During their exploration they soon discover they are not alone. ,English,Bradley Parker,Oren Peli Carey Dyke,Jesse McCartney Jonathan Sadowski Olivia Dudley,17% Despite an interesting premise and spooky atmospherics Chernobyl Diaries is mostly short on suspense and originality.,,,TRUE,
1006,Gone Girl,2014,Suspense-Thriller,,With his wife's disappearance having become the focus of an intense media circus a man sees the spotlight turned on him when it's suspected that he may not be innocent.,English,David Fincher,Gillian Flynn,Ben Affleck Rosamund Pike Neil Patrick Harris,87% Dark intelligent and stylish to a fault Gone Girl plays to director David Fincher's sick strengths while bringing the best out of stars Ben Affleck and Rosamund Pike.,,,TRUE,gone girl ver.jpg/gone girl hor.jpg
1007,The Girl on the Train,2016,Suspense-Thriller,,A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life. ,English,Tate Taylor,Erin Cressida Paula Hawkins,Emily Blunt Haley Bennett Rebecca Ferguson,45% Emily Blunt's outstanding performance isn't enough to keep The Girl on the Train from sliding sluggishly into exploitative melodrama.,,,TRUE,
1008,Shutter Island,2010,Psychological-Triller,,In 1954 a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.,English,Martin Scorsese,Laeta Kalogridis Dennis Lehane,Leonardo DiCaprio Emily Mortimer Mark Ruffalo ,68% It may not rank with Scorsese's best work but Shutter Island's gleefully unapologetic genre thrills represent the director at his most unrestrained.,This movie made me fall in love with the psychological-thriller genre. My top movie.,,TRUE,shutter island ver.png/shutter island hor.jpg/shutter island klimt.png/shutter island leo.JPG/shutter island art1.jpg
1009,Black Swan,2010,Psychological-Thriller,,"A committed dancer wins the lead role in a production of Tchaikovsky's ""Swan Lake"" only to find herself struggling to maintain her sanity.",English,Darren Aronofsky,Mark Heyman Andres Heinz,Natalie Portman Mila Kunis Vincent Cassel,86% Bracingly intense passionate and wildly melodramatic Black Swan glides on Darren Aronofsky's bold direction -- and a bravura performance from Natalie Portman.,,,TRUE,
1010,Memento,2000,Psychological-Thriller,,A man juggles searching for his wife's murderer and keeping his short-term memory loss from being an obstacle. ,English,Christopher Nolan,Christopher Nolan Jonathan Nolan,Guy Pearce Carrie-Anne Moss Joe Pantoliano,92% Christopher Nolan skillfully guides the audience through Memento's fractured narrative seeping his film in existential dread.,,,TRUE,
1011,The Machinist,2004,Psychological-Thriller ,,An industrial worker who hasn't slept in a year begins to doubt his own sanity.,English,Brad Anderson,Scott Kosar,Christian Bale Jennifer Leigh Aitana Sanchez-Gijon,77% Brad Anderson's dark psychological thriller about a sleepless factory worker is elevated by Christian Bale astonishingly committed performance.,,,TRUE,
1012,Donnie Darko,2001,Psychological-Thriller Sci-Fi,,A troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes after he narrowly escapes a bizarre accident. ,English,Richard Kelly,Richard Kelly,Jake Gyllenhaal Jena Malone Mary McDonnel,86% Richard Kelly's debut feature Donnie Darko is a daring original vision packed with jarring ideas and intelligence and featuring a remarkable performance from Jake Gyllenhaal as the troubled title character.,,,TRUE,
1013,Fight Club,1999,Psychological-Thriller,,An insomniac office worker looking for a way to change his life crosses paths with a devil-may-care soapmaker forming an underground fight club that evolves into something much much more. ,English,David Fincher,Chuck Palahniuk Jim Uhis,Brad Pitt Edward Norton Meat Loaf,79% Solid acting amazing direction and elaborate production design make Fight Club a wild ride.,,,TRUE,
